question,a,b,c,d,correct_answer
"What is the capital of France?","Paris","London","Berlin","Madrid",a
"Which planet is closest to the Sun?","Venus","Mercury","Earth","Mars",b
"What is 2 + 2?","3","4","5","6",b
"Who wrote Romeo and Juliet?","Charles Dickens","William Shakespeare","Mark Twain","Jane Austen",b
"What is the chemical symbol for water?","H2O","CO2","NaCl","O2",a
"Which gas makes up about 78% of Earth's atmosphere?","Oxygen","Nitrogen","Carbon Dioxide","Hydrogen",b
"In which year did World War II end?","1944","1945","1946","1947",b
"What is the largest mammal in the world?","African Elephant","Blue Whale","Giraffe","Hippopotamus",b
"Which of the following is a prime number?","15","21","23","25",c
"What is the square root of 64?","6","7","8","9",c
"Which country is known as the Land of the Rising Sun?","China","Japan","South Korea","Thailand",b
"What is the hardest natural substance on Earth?","Gold","Iron","Diamond","Platinum",c
"Which organ in the human body produces insulin?","Liver","Kidney","Pancreas","Heart",c
"What is the currency of the United Kingdom?","Euro","Dollar","Pound Sterling","Yen",c
"Which scientist developed the theory of relativity?","Isaac Newton","Albert Einstein","Galileo Galilei","Stephen Hawking",b 
